Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
afterglow,,afterglow,178.561823,-72.647500,180.000000,bottom
+ 5V -,Conn_01x02_Male,Molex_KK-6410-02_02x2.54mm_Straight,184.850000,-140.825000,0.000000,top
C1,27p,C_0402_1005Metric,147.225000,-78.800000,90.000000,top
C2,27p,C_0402_1005Metric,147.225000,-81.775000,-90.000000,top
C3,100n,C_0402_1005Metric,164.200000,-80.375000,0.000000,top
C4,10u,C_0805_2012Metric,193.400000,-142.650000,-90.000000,top
C5,100n,C_0402_1005Metric,149.075000,-83.775000,180.000000,top
C6,1u,C_0402_1005Metric,162.800000,-84.350000,0.000000,top
C7,10u,C_0805_2012Metric,200.600000,-133.900000,90.000000,top
C8,100n,C_0402_1005Metric,164.200000,-81.350000,0.000000,top
C9,1u,C_0402_1005Metric,162.800000,-85.350000,0.000000,top
C10,100n,C_0402_1005Metric,159.375000,-75.675000,90.000000,top
C11,100n,C_0402_1005Metric,155.250000,-88.200000,-90.000000,top
C12,100n,C_0402_1005Metric,154.925000,-75.625000,90.000000,top
C13,100n,C_0402_1005Metric,149.075000,-82.775000,180.000000,top
C14,100n,C_0402_1005Metric,159.850000,-88.200000,-90.000000,top
C15,100n,C_0402_1005Metric,161.150000,-88.200000,-90.000000,top
C16,100nF,C_0402_1005Metric,179.125000,-79.900000,180.000000,top
C17,100nF,C_0402_1005Metric,179.125000,-76.225000,0.000000,top
C18,100n,C_0402_1005Metric,165.550000,-76.280000,-90.000000,top
C19,100nF,C_0402_1005Metric,178.250000,-95.825000,90.000000,top
C20,100nF,C_0402_1005Metric,147.950000,-98.050000,90.000000,top
C21,100nF,C_0402_1005Metric,161.475000,-98.050000,90.000000,top
C22,100nF,C_0402_1005Metric,143.600000,-113.000000,0.000000,top
C23,100nF,C_0402_1005Metric,157.175000,-113.000000,0.000000,top
C24,100nF,C_0402_1005Metric,178.250000,-110.200000,90.000000,top
D1,BAT60A,D_SOD-323,193.400000,-138.675000,90.000000,top
D2,BAT60A,D_SOD-323,190.750000,-138.675000,-90.000000,top
D3,BAT60A,D_SOD-323,190.750000,-142.725000,90.000000,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.150000,-63.175000,0.000000,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,168.175000,-61.040000,180.000000,top
J4,Conn_02x17_Odd_Even,Pin_Header_Straight_2x17_Pitch2.54mm,196.400000,-133.275000,180.000000,top
J5,Conn_02x17_Odd_Even,Pin_Header_Straight_2x17_Pitch2.54mm,187.275000,-133.275000,180.000000,top
PWR,LED,LED_0402_1005Metric,200.265000,-129.150000,180.000000,top
PWR_LED2,LED,LED_0402_1005Metric,180.550000,-65.900000,180.000000,top
R1,1k,R_0402_1005Metric,149.075000,-81.075000,180.000000,top
R2,27,R_0402_1005Metric,162.825000,-82.350000,180.000000,top
R3,27,R_0402_1005Metric,162.825000,-83.350000,180.000000,top
R4,470,R_0402_1005Metric,200.240000,-92.525000,180.000000,top
R5,470,R_0402_1005Metric,200.240000,-94.925000,180.000000,top
R6,1k,R_0402_1005Metric,155.300000,-63.175000,90.000000,top
R7,470,R_0402_1005Metric,200.240000,-97.325000,180.000000,top
R8,470,R_0402_1005Metric,200.240000,-99.725000,180.000000,top
R9,470,R_0402_1005Metric,200.240000,-102.125000,180.000000,top
R10,470,R_0402_1005Metric,200.240000,-104.525000,180.000000,top
R11,470,R_0402_1005Metric,200.240000,-106.925000,180.000000,top
R12,470,R_0402_1005Metric,200.240000,-109.325000,180.000000,top
R13,1.5k,R_0402_1005Metric,200.240000,-123.725000,180.000000,top
R14,10k,R_0402_1005Metric,162.275000,-64.025000,180.000000,top
R15,6.8k,R_0402_1005Metric,200.240000,-126.125000,180.000000,top
R16,4.7k,R_0402_1005Metric,173.390000,-71.325000,0.000000,top
R17,0,R_0402_1005Metric,176.900000,-101.250000,90.000000,top
R18,0,R_0402_1005Metric,174.868800,-101.250000,90.000000,top
R19,0,R_0402_1005Metric,172.837500,-101.250000,90.000000,top
R20,0,R_0402_1005Metric,170.806300,-101.250000,90.000000,top
R21,0,R_0402_1005Metric,168.775000,-101.250000,90.000000,top
R22,4.7k,R_0402_1005Metric,168.775000,-104.685000,90.000000,top
R23,4.7k,R_0402_1005Metric,170.806300,-104.685000,90.000000,top
R24,4.7k,R_0402_1005Metric,172.837500,-104.685000,90.000000,top
R25,4.7k,R_0402_1005Metric,174.868800,-104.685000,90.000000,top
R26,4.7k,R_0402_1005Metric,176.900000,-104.685000,90.000000,top
R27,4.7k,R_0402_1005Metric,152.750000,-100.075000,90.000000,top
R28,4.7k,R_0402_1005Metric,152.750000,-95.550000,90.000000,top
R29,1k,R_0402_1005Metric,200.240000,-130.925000,0.000000,top
R30,4.7k,R_0402_1005Metric,174.725000,-115.675000,0.000000,top
R31,4.7k,R_0402_1005Metric,172.250000,-115.675000,180.000000,top
R32,4.7k,R_0402_1005Metric,200.240000,-118.925000,0.000000,top
R33,4.7k,R_0402_1005Metric,200.225000,-116.525000,0.000000,top
R34,4.7k,R_0402_1005Metric,200.240000,-121.325000,0.000000,top
R35,4.7k,R_0402_1005Metric,200.240000,-113.850000,0.000000,top
R36,4.7k,R_0402_1005Metric,200.240000,-111.725000,0.000000,top
R37,1k,R_0402_1005Metric,177.775000,-65.900000,0.000000,top
R38,220,R_0402_1005Metric,147.200000,-63.175000,-90.000000,top
SW1,SW_Push,SW_SPST_B3U-1000P,151.850000,-63.125000,0.000000,top
TEST,Conn_01x02,Pin_Header_Straight_1x02_Pitch2.54mm,179.100000,-61.450000,90.000000,top
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,199.300000,-140.700000,180.000000,top
U2,RP2040,RP2040-QFN-56,156.250000,-82.300000,180.000000,top
U3,SN74LVC245AN,TSSOP-20_4.4x6.5mm_P0.65mm,179.125000,-84.075000,270.000000,top
U4,SN74LVC245AN,TSSOP-20_4.4x6.5mm_P0.65mm,179.125000,-71.650000,90.000000,top
U5,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,163.625000,-70.175000,180.000000,top
U6,74HC21,SOIC-14_3.9x8.7mm_Pitch1.27mm,172.825000,-95.625000,180.000000,top
U7,7408,SOIC-14_3.9x8.7mm_Pitch1.27mm,172.825000,-110.900000,180.000000,top
U8,74HC245,TSSOP-20_4.4x6.5mm_P0.65mm,143.600000,-98.050000,180.000000,top
U9,74HC245,TSSOP-20_4.4x6.5mm_P0.65mm,157.175000,-98.050000,180.000000,top
U10,74HC257,TSSOP-16_4.4x5mm_P0.65mm,143.600000,-109.350000,90.000000,top
U11,74HC257,TSSOP-16_4.4x5mm_P0.65mm,157.175000,-109.350000,90.000000,top
Y1,ABLS-12.000MHZ-B4-T,Crystal_SMD_HC49-US,143.100000,-80.150000,-90.000000,top
